id,title,url,is_paid,price,duration,level,subject,source
744,Financial and Business Simulation with Microsoft Excel,https://www.udemy.com/simulation/,TRUE,20,0.516666667,Advanced,Business Finance,Udemy
745,10.  Bonds and Bond Pricing,https://www.udemy.com/bonds-and-bond-pricing/,TRUE,20,1,All Levels,Business Finance,Udemy
746,Professional Risk Manager (PRM) Certification: Level 3,https://www.udemy.com/professional-risk-manager-prm-certification-level-3/,TRUE,50,12.5,All Levels,Business Finance,Udemy
747,Stocks: Quick Method to get started Investing,https://www.udemy.com/quick-method-investing/,FALSE,0,1,Beginner,Business Finance,Udemy
748,The Fundamentals Of Finance For Non-Finance Professionals,https://www.udemy.com/finance-for-nonfinance/,TRUE,40,1.5,All Levels,Business Finance,Udemy
749,Forex - Top Equity Management Strategy,https://www.udemy.com/forex-millionaire-money-management-strategy/,TRUE,20,0.583333333,All Levels,Business Finance,Udemy
750,The Truths about (in)secure Retirement,https://www.udemy.com/retirement-planning-calculator/,TRUE,200,4.5,Intermediate,Business Finance,Udemy
751,Learn How to File Taxes for Uber and Lyft Drivers,https://www.udemy.com/learn-how-to-file-taxes-from-uber-lyft/,TRUE,40,2,All Levels,Business Finance,Udemy
752,Learn the Basics of the Wave Principle:,https://www.udemy.com/the-basics-of-the-wave-principle/,TRUE,30,1.5,Beginner,Business Finance,Udemy
753,MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,https://www.udemy.com/power-of-engulfing-candlestick-patterns-in-forex-trading/,TRUE,195,3.5,All Levels,Business Finance,Udemy
754,Start Trading Stocks Using Technical Analysis! Part 2,https://www.udemy.com/start-trading-stocks-using-technical-analysis-part-2/,TRUE,95,2,All Levels,Business Finance,Udemy
755,Introduction to Corporate Finance (Mergers & Acquisitions),https://www.udemy.com/introduction-to-corporate-finance/,FALSE,0,1.5,Beginner,Business Finance,Udemy
756,Forex & Financial Market Trading Tutorial- Online Strategies,https://www.udemy.com/forex-education-school-pforex/,FALSE,0,9,All Levels,Business Finance,Udemy
757,Learn to trade Candlestick Patterns,https://www.udemy.com/learn-to-trade-candlestick-patterns/,TRUE,20,1.5,Intermediate,Business Finance,Udemy
758,High-Frequency Trading #2: Market Structure & Instruments,https://www.udemy.com/high-frequency-trading-2-market-structure-instruments/,TRUE,50,0.683333333,All Levels,Business Finance,Udemy
759,The Art Of Financial Valuation With Certificate,https://www.udemy.com/learn-how-to-think-like-a-financier-leadership-in-finance/,TRUE,20,2,All Levels,Business Finance,Udemy
760,Sensitivity & Scenario Analysis for CA / CFA / CPA Exams,https://www.udemy.com/sensitivity-and-scenario-analysis-in-capital-budgeting/,TRUE,20,2,All Levels,Business Finance,Udemy
761,"Economics:   Competition, Elasticity, a little Game Theory",https://www.udemy.com/micro-econ-game-theory/,TRUE,50,6,All Levels,Business Finance,Udemy
762,Quantitative Trading Analysis with Python,https://www.udemy.com/quantitative-trading-analysis-with-python/,TRUE,50,5.5,All Levels,Business Finance,Udemy
763,Invest Like a Pro!,https://www.udemy.com/mastering-darvas-trade-like-a-pro-on-the-stock-market/,TRUE,200,2.5,Beginner,Business Finance,Udemy
764,Options Trading Essentials: The ULTIMATE Guides,https://www.udemy.com/options-trading-essentials/,FALSE,0,4,All Levels,Business Finance,Udemy
765,ACCA FA1 Recording Financial Transactions,https://www.udemy.com/acca-fa1-recording-financial-transactions/,TRUE,50,3.5,Beginner,Business Finance,Udemy
766,CFA® Level 1 2014 – Portfolio Management,https://www.udemy.com/portfolio-management-cfa-level-1/,TRUE,40,2,All Levels,Business Finance,Udemy
767,Essentials Of Swing Trading Stocks,https://www.udemy.com/essentials-of-swing-trading/,TRUE,20,1,All Levels,Business Finance,Udemy
768,Small Business and Managerial Accounting Training Tutorial,https://www.udemy.com/small-business-and-managerial-accounting-training-tutorial/,TRUE,20,3.5,Beginner,Business Finance,Udemy
769,Use Crowdfunding Effectively With Indiegogo and Kickstarter,https://www.udemy.com/learncrowdfunding/,FALSE,0,2,All Levels,Business Finance,Udemy
770,The Complete Litecoin Crypto Currency Bootcamp,https://www.udemy.com/the-complete-litecoin-crypto-currency-bootcamp/,TRUE,20,1,All Levels,Business Finance,Udemy
771,Bank Reconciliation & VAT on Excel,https://www.udemy.com/bank-reconciliation-vat-on-excel/,TRUE,20,1.5,All Levels,Business Finance,Udemy
772,Commodity Futures Day Trading Strategies,https://www.udemy.com/futures-day-trade-course/,TRUE,95,5,All Levels,Business Finance,Udemy
773,Learn to invest in the Stock Market,https://www.udemy.com/learn-to-invest-in-the-stock-market/,TRUE,40,1,Beginner,Business Finance,Udemy
774,FX Commodity Chart Trading Patterns for Success,https://www.udemy.com/fx-commodity-chart-patterns-mt4-platform/,TRUE,50,2.5,All Levels,Business Finance,Udemy
775,Forex Elite Trading,https://www.udemy.com/elite-forex-trading-system-beginners-to-intermediate-traders/,TRUE,85,6,All Levels,Business Finance,Udemy
776,How to Invest in Startups - Expert Reveals Winning Secrets.,https://www.udemy.com/how-to-invest-in-startups/,FALSE,0,8.5,All Levels,Business Finance,Udemy
777,Kickstarter success in 5 easy steps,https://www.udemy.com/kickstarter-success-in-5-easy-steps/,TRUE,20,0.516666667,All Levels,Business Finance,Udemy
778,Understanding Financial Statements,https://www.udemy.com/understanding-financial-statements/,TRUE,25,1,All Levels,Business Finance,Udemy
779,Planning and Executing a Financial Statement Audit,https://www.udemy.com/planning-executing-financial-statement-audit/,TRUE,50,2,Intermediate,Business Finance,Udemy
780,The Latest Updates 2016 Financial Accounting Standards Board,https://www.udemy.com/2016-fasb-updates/,TRUE,50,2,Intermediate,Business Finance,Udemy
781,How to achieve personal transformation,https://www.udemy.com/learnhowtocreatewealth/,TRUE,20,0.533333333,All Levels,Business Finance,Udemy
782,Basic Bookkeeping,https://www.udemy.com/basic-bookkeeping-course/,TRUE,35,0.733333333,Beginner,Business Finance,Udemy
783,"Credit concepts and checklist for bankers, credit analyst",https://www.udemy.com/credit-concepts-and-checklist-for-bankers-credit-analyst/,TRUE,20,2.5,Beginner,Business Finance,Udemy
784,Practical Film Financing: Finding & Pitching Investors,https://www.udemy.com/indiefilm-financing/,TRUE,100,1,Beginner,Business Finance,Udemy
785,Ratio Analysis for Financial Statements,https://www.udemy.com/ratio-analysis-financial-statements/,TRUE,50,2,Beginner,Business Finance,Udemy
786,60 Minutes to Fundamental Accounting Skills,https://www.udemy.com/60-minute-fundamental-accounting-skills/,TRUE,75,2.5,Beginner,Business Finance,Udemy
787,Essentials of money value: Get a financial Life !,https://www.udemy.com/essentials-of-money-value/,TRUE,20,0.616666667,All Levels,Business Finance,Udemy
788,Introduction to Forex Trading Business For Beginners,https://www.udemy.com/introduction-to-forex-trading-business-for-beginners/,TRUE,20,1.5,Beginner,Business Finance,Udemy
789,"Backspreads, Diagonals and Butterflies - Advanced Strategies",https://www.udemy.com/calendars-diagonals-butterfly-spreads/,TRUE,60,2,Advanced,Business Finance,Udemy
790,Trade Forex 13 Patterns - Golden Ratios Secret Revealed,https://www.udemy.com/forex-13-patterns-trade-with-precision/,TRUE,200,4,All Levels,Business Finance,Udemy
791,Crystal ball trading - foresee price with seasonal patterns,https://www.udemy.com/seasonality/,TRUE,145,6,All Levels,Business Finance,Udemy
792,Weekly Options and study of Options expiration dynamics,https://www.udemy.com/weekly-options/,TRUE,60,1,Advanced,Business Finance,Udemy
793,Cost Accounting Basics (Professional Course Level),https://www.udemy.com/basics-of-cost-accounting/,TRUE,20,1,Beginner,Business Finance,Udemy
794,Learn to Reliably Invest In The Stock Market,https://www.udemy.com/become-a-stock-millionaire/,TRUE,50,0.616666667,All Levels,Business Finance,Udemy
795,Hedge Fund Trading Systems Part Two - Stocks & ETFs,https://www.udemy.com/hedge-fund-trading-systems-two/,TRUE,200,2.5,Advanced,Business Finance,Udemy
796,Stock Market Option Trading: How Sell Options For Premium,https://www.udemy.com/make-a-steady-monthly-income-selling-stock-options/,TRUE,200,2,Intermediate,Business Finance,Udemy
797,Straddles and Strangles - Volatility moves in any direction,https://www.udemy.com/straddles-and-strangles/,TRUE,60,1.5,Advanced,Business Finance,Udemy
798,Debt Collection Management: Get Paid On Time EVERY TIME!,https://www.udemy.com/accounts-receivable-help/,TRUE,20,3,All Levels,Business Finance,Udemy
799,Learn about it,https://www.udemy.com/the-mysterious-camarilla-equation/,TRUE,20,1.5,All Levels,Business Finance,Udemy
800,Trading: Basics of Trading for Beginners,https://www.udemy.com/money-basics-of-trading-for-beginners/,TRUE,140,1.5,Beginner,Business Finance,Udemy
801,Options Spreads Bundle-  the heart of Options Trading,https://www.udemy.com/options-spreads-explained/,TRUE,120,2.5,Intermediate,Business Finance,Udemy
802,Trade the News in Forex: EA Robot Included,https://www.udemy.com/tradethenews/,TRUE,200,0.566666667,All Levels,Business Finance,Udemy
803,Investment Portfolio Analysis with R,https://www.udemy.com/investment-portfolio-analysis-with-r/,TRUE,50,6.5,All Levels,Business Finance,Udemy
804,Basics of Economics For Beginners A to Z - A Complete Course,https://www.udemy.com/basics-of-economics-for-absolute-beginners/,TRUE,170,1.5,Beginner,Business Finance,Udemy
805,Seeing the Big Picture: Understanding Financial Statements,https://www.udemy.com/seeing-the-big-picture-financial-statements-made-easy/,TRUE,50,0.716666667,All Levels,Business Finance,Udemy
806,Financial Modeling for Professionals in 1 Day!,https://www.udemy.com/financial-modeling-for-professionals/,TRUE,200,4.5,Intermediate,Business Finance,Udemy
807,Create Your Own Automated Stock Trading Robot In EXCEL!,https://www.udemy.com/automated-trading-excel/,TRUE,150,5,All Levels,Business Finance,Udemy
808,FOREX: From Zero To Hero,https://www.udemy.com/forex-from-zero-to-hero/,TRUE,150,3,All Levels,Business Finance,Udemy
809,Learn Call Options and Put Options - Introduction to Options,https://www.udemy.com/learn-options-trading-introduction-call-put-options/,TRUE,60,3,Beginner,Business Finance,Udemy
810,1. Principles of Simple Interest ,https://www.udemy.com/principles-of-simple-interest/,TRUE,20,1,All Levels,Business Finance,Udemy
811,Double Entry Bookkeeping,https://www.udemy.com/double-entry-bookkeeping/,TRUE,50,1,Beginner,Business Finance,Udemy
812,MQL5 Tutorial Bootcamp,https://www.udemy.com/mql5-tutorial-bootcamp/,TRUE,20,0.533333333,Beginner,Business Finance,Udemy
813,Succeed at Options Even If You Don't Know Where to Start,https://www.udemy.com/succeed-at-options-even-if-you-dont-know-where-to-start/,TRUE,200,1.5,All Levels,Business Finance,Udemy
814,"Buying, Selling, and Storing Precious Metal",https://www.udemy.com/got-gold-get-gold-buying-and-selling-precious-metal/,TRUE,20,1,All Levels,Business Finance,Udemy
815,Accounting Skills for Managers,https://www.udemy.com/accounting-skills-for-managers/,TRUE,20,1.5,Beginner,Business Finance,Udemy
816,Analysis and Evaluation of Economic Feasibility of Projects,https://www.udemy.com/feasibility-study/,TRUE,100,1,Intermediate,Business Finance,Udemy
817,Technical Analysis: Understanding Price Action,https://www.udemy.com/technical-analysis-understanding-price-action/,TRUE,45,3,All Levels,Business Finance,Udemy
818,Bitcoin For Beginners,https://www.udemy.com/bitcoinforbeginners/,TRUE,50,4,Beginner,Business Finance,Udemy
819,"IAS 16-Property,Plant and Equipment ",https://www.udemy.com/ias-16-propertyplant-and-equipment/,FALSE,0,3,All Levels,Business Finance,Udemy
820,Basel II,https://www.udemy.com/basel-ii/,TRUE,50,3.5,All Levels,Business Finance,Udemy
821,Forex Trading Plan,https://www.udemy.com/forex-trading-plan/,TRUE,50,0.7,All Levels,Business Finance,Udemy
822,Financial Modeling 101,https://www.udemy.com/financial-modeling-101/,FALSE,0,0.616666667,Beginner,Business Finance,Udemy
823,Learn Financial Modeling from Scratch - Part1,https://www.udemy.com/learn-financial-modeling-part1/,TRUE,50,3.5,All Levels,Business Finance,Udemy
824,Introduction to Small Business Accounting Training Tutorial,https://www.udemy.com/introduction-to-small-business-accounting-training-tutorial/,TRUE,25,3.5,Beginner,Business Finance,Udemy
825,Learn Basic Concepts of Economics Step by Step - Complete,https://www.udemy.com/introduction-to-economics-for-beginners/,TRUE,150,1.5,All Levels,Business Finance,Udemy
826,Introduction to Digital Payments ,https://www.udemy.com/payments/,FALSE,0,1,Beginner,Business Finance,Udemy
827,The Beginner's Guide to the Futures and Options Trading,https://www.udemy.com/futures-options/,FALSE,0,3,All Levels,Business Finance,Udemy
828,Bitcoin Investing: The Complete Buy & Hold Strategy,https://www.udemy.com/bitcoin-investing/,TRUE,25,4,All Levels,Business Finance,Udemy
829,Financial Modeling in Excel for Startups,https://www.udemy.com/financial-modeling-in-excel-for-startups/,TRUE,50,6,Beginner,Business Finance,Udemy
830,Learn to Trade Forex Naked Price Action Big Shadow Trade,https://www.udemy.com/learn-to-trade-forex-naked-price-action-big-shadow-trade/,FALSE,0,1,Intermediate,Business Finance,Udemy
831,Forex Trading For Beginners ,https://www.udemy.com/forex-trading-for-beginners-q/,FALSE,0,2,Beginner,Business Finance,Udemy
832,Build a Trading Comps Valuation Model,https://www.udemy.com/build-a-trading-comps-valuation-model/,TRUE,50,7,All Levels,Business Finance,Udemy
833,The Advanced Forex Course for Smart Traders,https://www.udemy.com/advanced-forex-course/,FALSE,0,5,All Levels,Business Finance,Udemy
834,Cost Accounting Overheads (Professional Course Level),https://www.udemy.com/overheads-in-cost-accounting/,TRUE,20,2.5,All Levels,Business Finance,Udemy
835,Beginners Guide to Stock Market Investing,https://www.udemy.com/beginners-guide-to-stock-market-investing/,FALSE,0,2.5,Beginner,Business Finance,Udemy
836,Financial Management Capital Market Instruments,https://www.udemy.com/capital-market-instruments/,TRUE,25,1,Beginner,Business Finance,Udemy
837,NPV and IRR Techniques for CA / CFA / CPA Exams,https://www.udemy.com/business-investment-decisions/,TRUE,20,7.5,Beginner,Business Finance,Udemy
838,Commercial Credit Analysis,https://www.udemy.com/commercial-credit-analysis/,TRUE,50,7.5,All Levels,Business Finance,Udemy
839,Essential Finance For Managers,https://www.udemy.com/finance-for-managers/,TRUE,25,5.5,All Levels,Business Finance,Udemy
840,Bitcoin for Accountants,https://www.udemy.com/bitcoin-for-accountants/,FALSE,0,1,Beginner,Business Finance,Udemy
841,ProTrader -  Advanced Technical Analysis,https://www.udemy.com/protrader-advanced-technical-analysis/,TRUE,125,2,All Levels,Business Finance,Udemy
842,Binary Options Masterclass,https://www.udemy.com/binary-options-masterclass/,TRUE,200,2,All Levels,Business Finance,Udemy
843,188% Profit in 1Year - Forex ALGO Robot Trading no indicator,https://www.udemy.com/forex-robot-trading/,TRUE,120,2,All Levels,Business Finance,Udemy
844,"Financial Accounting, its Cycle, Statements & Analysis",https://www.udemy.com/financial-accounting-in-360-minutes/,TRUE,20,5,Beginner,Business Finance,Udemy
845,Yield Curve Dynamics,https://www.udemy.com/yield-curve-dynamics/,TRUE,50,3,All Levels,Business Finance,Udemy
846,Value Investing and Stock Market Fundamentals,https://www.udemy.com/value-investing-and-stock-market-fundamentals/,TRUE,195,3,Beginner,Business Finance,Udemy
847,Media Training for Financial Service Professionals,https://www.udemy.com/media-training-for-financial-service-professionals/,TRUE,20,7,All Levels,Business Finance,Udemy
848,Learn the Forex Naked Price Action Pogo Trade,https://www.udemy.com/learn-the-forex-naked-price-action-pogo-trade/,TRUE,60,1,Intermediate,Business Finance,Udemy
849,Forex - Price action Reversal Strategy,https://www.udemy.com/forex-price-action-reversal-strategy/,TRUE,20,1,All Levels,Business Finance,Udemy
850,Budget preparation for an EU project proposal,https://www.udemy.com/budget-preparation-for-an-eu-project-proposal/,TRUE,50,1,Intermediate,Business Finance,Udemy
851,Corporate Finance and Alternative Investment for CFA L1,https://www.udemy.com/corporate-finance-and-alternative-investment-for-cfa-l1/,TRUE,20,4.5,All Levels,Business Finance,Udemy
852,Don't Let Your Customers Run Your Business,https://www.udemy.com/dont-let-your-customers-run-your-business/,TRUE,50,2.5,Intermediate,Business Finance,Udemy
853,Stock Trading: Insider Tips For Determining Market Direction,https://www.udemy.com/stock-trading-stock-market-direction/,TRUE,95,1,All Levels,Business Finance,Udemy
854,TopTrader Academy - Complete Options Course,https://www.udemy.com/toptraderacademy-complete-options-course/,TRUE,150,3,All Levels,Business Finance,Udemy
855,Working Capital Management for Entrepreneurs,https://www.udemy.com/working-capital-management-of-tata-motors-limited/,TRUE,20,1,Advanced,Business Finance,Udemy
856,Learn Quickbooks to maintain books properly,https://www.udemy.com/learn-quickbooks-to-maintain-books-properly/,TRUE,20,2.5,Beginner,Business Finance,Udemy
857,CFA Level I Foundation: Introduction to Financial Reporting,https://www.udemy.com/cfa-foundation-financial-reporting/,TRUE,50,5.5,Beginner,Business Finance,Udemy
858,"Fixed Income Valuation and Analysis, CFA L2",https://www.udemy.com/fixed-income-simplified-for-cfa-l2/,TRUE,20,3,All Levels,Business Finance,Udemy
859,Corporation Tax Returns UK,https://www.udemy.com/corporation-tax-returns-uk/,TRUE,50,2,All Levels,Business Finance,Udemy
860,Trading For Busy People,https://www.udemy.com/trading-for-busy-people/,TRUE,50,3,All Levels,Business Finance,Udemy
861,Basics of Trading,https://www.udemy.com/basicsoftrading/,TRUE,40,1,Beginner,Business Finance,Udemy
862,CFP - Introduction to Financial Planning,https://www.udemy.com/apnacoursecfp/,TRUE,30,12,Beginner,Business Finance,Udemy
863,Investment Portfolio Analysis with Python,https://www.udemy.com/investment-portfolio-analysis-with-python/,TRUE,50,7,All Levels,Business Finance,Udemy
864,Day Trading Market Structure Signals,https://www.udemy.com/free-day-trading-course/,FALSE,0,2,All Levels,Business Finance,Udemy
865,Professional Bookkeeping and Accounting 3: Double Entry ,https://www.udemy.com/professional-bookkeeping-and-accounting-3-double-entry/,TRUE,35,1,All Levels,Business Finance,Udemy
866,"Accounting Basics by Hector Garcia, CPA",https://www.udemy.com/accounting-explained-under-1-hour-by-hector-garcia-cpa/,FALSE,0,1,Beginner,Business Finance,Udemy
867,Stock Markets: How I Became Rich By Changing How I Trade,https://www.udemy.com/become-wealthy-trading-in-the-stock-market/,TRUE,20,1,All Levels,Business Finance,Udemy
868,Learn About Bitcoin and Bitcoin Mining,https://www.udemy.com/learn-about-bitcoin-and-bitcoin-mining/,TRUE,20,0.533333333,Beginner,Business Finance,Udemy
869,Take Control By Learning The Stock Market Now,https://www.udemy.com/stock-market-crash-course/,TRUE,30,1,Beginner,Business Finance,Udemy
870,Cost Accounting and Financial Management - A Complete Study,https://www.udemy.com/cost-accounting-and-financial-management-a-complete-study/,TRUE,150,45,All Levels,Business Finance,Udemy
871,Learn Global Macro Trading & Investing for Retail Investor,https://www.udemy.com/gms-soros/,TRUE,75,1.5,All Levels,Business Finance,Udemy
872,Energiespar-Formel // Mehr Geld durch Wasser sparen Zuhause,https://www.udemy.com/energiespar-formel-mehr-geld-durch-wasser-sparen-zuhause/,TRUE,50,1.5,All Levels,Business Finance,Udemy
873,high swing - كورس لتعليم جميع مراحل احتراف تداول الفوركس,https://www.udemy.com/wiqvfsmc/,TRUE,100,2.5,Intermediate,Business Finance,Udemy
874,TRADER BOT: Introdução à Linguagem MQL5,https://www.udemy.com/intro-mql5/,TRUE,20,70,All Levels,Business Finance,Udemy
875,财务分析与估值建模入门,https://www.udemy.com/zprzqgfl/,FALSE,0,1.5,Beginner,Business Finance,Udemy
876,Aprende desde cero a operar el mercado de divisas FOREX,https://www.udemy.com/aprende-desde-cero-a-operar-el-mercado-de-divisas-forex/,TRUE,90,4,All Levels,Business Finance,Udemy
877,Cómo usar Metatrader 4 para hacer trading?,https://www.udemy.com/como-usar-metatrader-4-para-hacer-trading/,TRUE,20,6,All Levels,Business Finance,Udemy
878,Zoho Books Gestion Financière d'Entreprise pas à pas,https://www.udemy.com/zoho-books-gestion-financiere-dentreprise-pas-a-pas/,FALSE,0,2,All Levels,Business Finance,Udemy
879,Aprende a llevar la contabilidad de forma informatizada,https://www.udemy.com/contabilidad-informatizada/,TRUE,25,4.5,Beginner,Business Finance,Udemy
880,Psicología del trading,https://www.udemy.com/psicologia-del-trading/,TRUE,20,0.6,All Levels,Business Finance,Udemy
881,La costruzione del budget di una proposta comunitaria,https://www.udemy.com/la-costruzione-del-budget-di-una-proposta-comunitaria/,TRUE,50,1,Intermediate,Business Finance,Udemy
882,"Erfolgreich als Signalgeber/in, per Social- und Copytrading",https://www.udemy.com/erfolgreich-als-signalgeber_in-per-social-und-copytrading/,TRUE,60,6,All Levels,Business Finance,Udemy
883,Aprenda  a Investir,https://www.udemy.com/estacio-educacao-financeira/,TRUE,20,8,All Levels,Business Finance,Udemy
884,Teeter-Totter Accounting,https://www.udemy.com/teeter-totter-accounting/,TRUE,90,1,Beginner,Business Finance,Udemy
885,beginning accounting,https://www.udemy.com/beginning_accounting/,TRUE,20,0.633333333,Intermediate,Business Finance,Udemy
886,Stop Creditors from Harassing you and Avoid Bankruptcy,https://www.udemy.com/stop-creditor-harassment-and-avoid-bankruptcy/,TRUE,20,0.616666667,Beginner,Business Finance,Udemy
887,Learn to trade using technical analysis,https://www.udemy.com/learn-to-trade-using-technical-analysis/,TRUE,50,0.533333333,Intermediate,Business Finance,Udemy
888,How to Invest Using ETFs from Former Wall Street Trader,https://www.udemy.com/etf-master-class/,TRUE,200,2,All Levels,Business Finance,Udemy
889,Workshop on Banking Credit Analysis Process,https://www.udemy.com/workshop-on-banking-credit-analysis-process/,TRUE,100,1.5,All Levels,Business Finance,Udemy
890,The Cuckoo Strategy to get European Funding,https://www.udemy.com/the-cuckoo-strategy-to-get-european-funding/,TRUE,160,1,All Levels,Business Finance,Udemy
891,Accounting - The 6 most important rules you must learn,https://www.udemy.com/accounting-the-6-most-important-rules-you-must-learn/,TRUE,20,1,All Levels,Business Finance,Udemy
892,Mutual Funds for Investors in Retirement Accounts,https://www.udemy.com/mutual-funds-for-investors-in-retirement-accounts/,TRUE,20,0,All Levels,Business Finance,Udemy
893,Free Ways to Create Passive Income Online,https://www.udemy.com/how-to-make-passive-income-online/,TRUE,25,1,Beginner,Business Finance,Udemy
894,Understanding Financial Statements,https://www.udemy.com/understanding-financial-statements/,TRUE,25,1,All Levels,Business Finance,Udemy
895,The Cash Flow Statement - An Introduction,https://www.udemy.com/cash-flow-statement-introduction/,TRUE,50,1.5,Beginner,Business Finance,Udemy
896,"Options Foundation - Time Decay, Implied Volatility, Greeks",https://www.udemy.com/learn-options-trading/,TRUE,60,3,Beginner,Business Finance,Udemy
897,Buying Call and Put Options - Options beginner strategies,https://www.udemy.com/buy-call-options-buy-put-options-trading-strategies/,TRUE,60,3,Intermediate,Business Finance,Udemy
898,How To Trade RSI Pullback Strategy: Entry To Exit (Forex),https://www.udemy.com/how-to-trade-rsi-pullback-strategy-entry-to-exit/,TRUE,150,2,All Levels,Business Finance,Udemy
899,Valuation of Goodwill for CA / CFA / CMA Exams,https://www.udemy.com/valuation-of-goodwill/,TRUE,20,0.716666667,All Levels,Business Finance,Udemy
900,Forex - Catch the Big Market Moves in Forex,https://www.udemy.com/how-to-catch-the-big-market-moves-in-forex/,TRUE,20,1.5,Intermediate,Business Finance,Udemy
901,SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots,https://www.udemy.com/mql4-tutorial-bootcamp-metatrader4-trading-robots-expert-advisors-mt4/,TRUE,25,1,All Levels,Business Finance,Udemy
902,Intermediate Accounting 1: Easy. Fast. Simple!,https://www.udemy.com/intermediateaccounting/,TRUE,200,2.5,Intermediate,Business Finance,Udemy
903,Global Macro Investing - Take Control Of The World's Markets,https://www.udemy.com/global-macro-trading-take-control-of-the-worlds-markets/,TRUE,30,2,Intermediate,Business Finance,Udemy
904,How to Read a Balance Sheet,https://www.udemy.com/how-to-read-balance-sheet/,TRUE,50,3.5,Beginner,Business Finance,Udemy
905,Credit Repair from a Financial Institution,https://www.udemy.com/credit-repair-from-a-financial-institution/,TRUE,20,2.5,All Levels,Business Finance,Udemy
906,The Binary Institute -  Binary Options Trading Course,https://www.udemy.com/the-binary-institute-binary-options-trading-course/,TRUE,200,2.5,All Levels,Business Finance,Udemy
907,Mental Models For Wall Street - Become A Better Trader,https://www.udemy.com/mental-models-for-wall-street/,FALSE,0,2,All Levels,Business Finance,Udemy
908,株式投資に向く性格に変えるための心理学を学ぶ,https://www.udemy.com/jun-sakai-trading-course2/,TRUE,20,1.5,All Levels,Business Finance,Udemy
909,Matemática Financeira com HP12C e MS Excel,https://www.udemy.com/matematica-financeira-com-hp12-e-ms-excel/,TRUE,20,4.5,Beginner,Business Finance,Udemy
910,¡Triunfar en La Bolsa de Valores No Requiere de Experiencia!,https://www.udemy.com/triunfar-en-la-bolsa-de-valores-no-requiere-de-experiencia/,FALSE,0,1,Beginner,Business Finance,Udemy
911,Cómo Crear Políticas Contables bajo NIIF para PYMES,https://www.udemy.com/como-crear-politicas-contables-bajo-niif-para-pymes/,TRUE,20,1,All Levels,Business Finance,Udemy
912,Finanzas Personales para Vivir Libre de Deudas,https://www.udemy.com/finanzas-personales-para-vivir-libre-de-deudas/,TRUE,75,6,Beginner,Business Finance,Udemy
913,Finanzas personales: Logrando la Libertad Financiera,https://www.udemy.com/finanzas-personales-logrando-la-libertad-financiera/,TRUE,30,2,Beginner,Business Finance,Udemy
914,株式投資で本当のテクニカル分析ができるようになる,https://www.udemy.com/jun-sakai-trading-course4/,TRUE,20,2.5,Intermediate,Business Finance,Udemy
915,Aktiver Vermögensaufbau mit ETF,https://www.udemy.com/aktiver-vermoegensaufbau/,TRUE,20,2,Beginner,Business Finance,Udemy
916,Socorro! Preciso Organizar as Minhas Finanças!,https://www.udemy.com/socorro-preciso-organizar-as-minhas-financas/,TRUE,20,1.5,All Levels,Business Finance,Udemy
917,Curso Completo de Opciones Binarias: Estrategias 90% Acierto,https://www.udemy.com/opciones-binarias-gana-dinero-trading-de-opciones-binarias/,TRUE,145,1.5,All Levels,Business Finance,Udemy
918,Le basi del Trading,https://www.udemy.com/le-basi-del-trading/,TRUE,200,3.5,All Levels,Business Finance,Udemy
919,【個人事業主向け】青色申告の記帳を自力で行うための複式簿記の基本,https://www.udemy.com/aoirokojin/,TRUE,30,3,Beginner,Business Finance,Udemy
920,Profit and Loss Account for bankers and credit analysts,https://www.udemy.com/profit-and-loss-account-for-bankers-and-credit-analysts/,TRUE,20,7.5,Beginner,Business Finance,Udemy
921,Business Accounts For Managers,https://www.udemy.com/business-accounts-for-managers/,TRUE,30,3,Beginner,Business Finance,Udemy
922,Black Scholes Option Pricing Model,https://www.udemy.com/black-scholes-option-pricing-model/,TRUE,25,1,Beginner,Business Finance,Udemy
923,Chief Wealth Officer,https://www.udemy.com/chief-wealth-officer/,TRUE,45,1,Beginner,Business Finance,Udemy
924,Practical Accounts Training A,https://www.udemy.com/mobile-practical-accounts-training-a/,TRUE,35,31.5,Intermediate,Business Finance,Udemy
925,International Trade and New Geographic Economy,https://www.udemy.com/international-trade-and-new-geographic-economy/,TRUE,20,0.533333333,All Levels,Business Finance,Udemy
926,2. Principles of Simple Interest - advanced problems,https://www.udemy.com/principles-of-simple-interest-advanced-problems/,TRUE,20,1.5,Intermediate,Business Finance,Udemy
927,School of Raising Capital: Agile Financial Modeling,https://www.udemy.com/agilefinancialmodeling/,TRUE,20,1.5,All Levels,Business Finance,Udemy
928,How to Read Financial Statements,https://www.udemy.com/how-to-read-financial-statements/,TRUE,20,2,Beginner,Business Finance,Udemy
929,"Intro. to Asset-Backed Securities, CFA Level I,  2017 Prep",https://www.udemy.com/intro-to-asset-backed-securities-cfa-level-i-2017-prep/,TRUE,20,3,All Levels,Business Finance,Udemy
930,Reach Your Personal Financial Goals the Easy Way (2017 UK),https://www.udemy.com/reach-your-personal-financial-goals-the-easy-way-2017-uk/,TRUE,95,4.5,All Levels,Business Finance,Udemy
931,Bitesize Bookkeeping for busy people,https://www.udemy.com/bitesize-bookkeeping-for-busy-people/,TRUE,20,1.5,Beginner,Business Finance,Udemy
